232. контролер (a ticket inspector)
233. конфета (a sweet)
234. коньки (skates)
235. копилка (a piggy bank)
236. копье (a spear)
237. корабль (a ship)
238. корень (a root)
239. корзина (a basket)
240. коридор (a corridor)
241. коробка (a box)
242. корова (a cow)
243. королева (a queen)
244. корона (a crown)
245. корсет (a corset)
246. корыто (a wash-tub)
247. коса (a scythe)
248. космонавт (an astronaut)
249. костер (a fire)
250. костыль (a crutch)
251. кость (a bone)
252. костюм (a costume)
253. кошелек (1) (a wallet)
254. кошка (a cat)
255. кощей (Koschei)
256. кран (a tap)
257. креветка (a shrimp)
258. крендель (a pretzel)
259. кресло (a seat)
260. крест (a cross)
261. кровать (a bed)
262. крокодил (a crocodile)
263. кролик (a rabbit)
264. кроссворд (a crossword)
265. крот (a mole)
266. круг (a circle)
267. кружка (a mug)
268. крыло (a wing)
269. крыса (a rat)
270. крыша (a roof)
271. крышка (a lid)
272. крючок (a hook)
273. куб (a cube)
274. кубики (cubes)
275. кувшин (a jug)
276. кузнечик (a grasshopper)
277. кукла (a doll)
278. кукуруза (an ear of corn)
279. кулак (a fist)
280. купальник (a swimsuit)
281. курица (a chicken)
282. куртка (a jacket)
283. кухня (a kitchen)
284. лаборатория (a laboratory)
285. ладонь (a palm of the hand)
286. лампа (1) (a lamp)
287. лампа (2) (a lamp)
288. лампочка (a light bulb)
289. ландыш (a lily of the valley)
290. ластик (an eraser)
291. лебедь (a swan)
292. лев (a lion)
293. лейка (a watering-can)
294. леопард (a leopard)
295. лес (a forest)
296. лестница (stairs)
297. лимон (a lemon)
298. линейка (a ruler)
299. лиса (a fox)
300. лицо (a face)
301. лоб (a forehead)
302. лодка (a boat)
303. ложка (a spoon)
304. локоть (an elbow)
305. лопата (a shovel)
306. лось (an elk)
307. лошадь (a horse)
308. лужа (a puddle)
309. лыжи (skis)
310. люстра (a chandelier)
311. лягушка (a frog)
312. магнитофон (a tape recorder)
313. майка (a tank top)
314. малина (raspberries)
315. маска (a mask)
316. масло (butter)
317. матрас (a mattress)
318. матрос (a sailor)
319. маяк (a lighthouse)
320. медведь (a bear)
321. медсестра (a nurse)
322. мельница (a mill)
323. месяц (a moon)
324. метла (a broom)
325. меч (a sword)
326. мешок (a sack)
327. микроскоп (a microscope)
328. микрофон (a microphone)
329. миксер (a mixer)
330. миска (a bowl)
331. мозг (a brain)
332. молоко (milk)
333. молоток (a hammer)
334. мольберт (an easel)
335. морж (a walrus)
336. морковь (a carrot)
337. мост (a bridge)
338. мотоцикл (a motor-cycle)
339. мочалка (a loofah)
340. муравей (an ant)
341. мусорка (a trash can)
342. муха (a fly)
343. мышь (a mouse)
344. мяч (a ball)
345. намордник (a muzzle)
346. наперсток (a thimble)
347. наручники (handcuffs)
348. наушники (earphones)
349. невеста (a bride)
350. нога (a leg)
351. нож (a knife)
352. ножницы (scissors)
353. нора (a hole)
354. нос (a nose)
355. носилки (a tub with handles)
356. носок (a sock)
357. носорог (a rhinoceros)
358. нота (a note)
359. ноты (notes)
360. ноутбук (a laptop)
361. ночь (a night)
362. обезьяна (a monkey)
363. ободок (a band)
364. овал (an oval)
365. овца (a sheep)
366. огурец (a cucumber)
367. одеяло (a blanket)
368. одуванчик (a dandelion)
369. ожерелье (a necklace)
370. озеро (a lake)
371. окно (a window)
372. окорок (ham)
373. олень (a deer)
374. операционная (an operating room)
375. орден (a military medal)
376. орех (a nut)
377. оркестр (an orchestra)
378. осел (a donkey)
379. остров (an island)
380. осьминог (an octopus)
381. отвертка (a screwdriver)
382. открывашка (a bottle-opener)
383. открытка (a post card)
384. официант (a waiter)
385. официантка (a waitress)
386. охотник (a hunter)
387. очки (1) (glasses)
388. павлин (a peacock)
389. пазл (a jigsaw)
390. пакет (a packet)
391. палец (a finger)
392. палитра (a palette)
393. палуба (a deck)
394. пальма (a palm)
395. пальто (a coat)
396. папка (a folder)
397. парашют (a parachute)
398. паром (a ferry)
399. парусник (a sailing boat)
400. пастух (a herdsman)
401. паук (a spider)
402. паутина (a spider web)
403. певец (a singer)
404. педаль (a pedal)
405. пепельница (an ashtray)
406. перекресток (a crossroad)
407. перец (a bell pepper)
408. перо (a feather)
409. персик (a peach)
410. перчатка (a glove)
411. петух (a cock)
412. печенье (cookies)
413. печь (an oven)
414. пещера (a cave)
415. пиво (beer)
416. пиджак (a jacket)
417. пила (a saw)
418. пилка (an emery board)
419. пилот (a pilot)
420. пингвин (a penguin)
421. пионер (a pioneer)
422. пирамида (a pyramid)
423. пират (a pirate)
424. пирог (a pie)
425. пирожок (a patty)
426. пистолет (a pistol)
427. письмо (a letter)
428. пицца (a pizza)
429. платье (a dress)
430. платье (a dress)
431. плеер (a Walkman)
432. пленка (a film stock)
433. плот (a raft)
434. повар (a cook)
435. поводок (a leash)
436. подарок (a present)
437. подбородок (a chin)
438. поднос (a tray)
439. подтяжки (a pair of braces)
440. подушка (a pillow)
441. поезд (a train)
442. пол (a floor)
443. поле (1) (a field)
444. полка (a shelf)
445. половник (a ladle)
446. полотенце (a towel)
447. помидор (a tomato)
448. попугай (a parrot)
449. портрет (a portrait)
450. портфель (a briefcase)
451. почка (a bud)
452. привидение (a ghost)
453. принц (a prince)
454. принцесса (a princess)
455. прихожая (a vestibule)
456. прищепка (a clothepin)
457. пробка (a stopper)
458. продавец (a saleswoman)
459. пружина (a spring)
460. прямоугольник (a rectangle)
461. птица (a bird)
462. птицы (birds)
463. пуговица (a button)
464. пуля (a bullet)
465. пылесос (a vacuum cleaner)
466. пяльцы (a lace-frame)
467. рабочий (a worker)
468. радуга (a rainbow)
469. рак (a crayfish)
470. ракета (a rocket)
471. ракетка (a racket)
472. раскладушка (a folding bed)
473. расческа (a comb)
474. ребенок (a baby)
475. река (a river)
476. ремень (a belt)
477. ресторан (a restaurant)
478. решетка (a grating)
479. робот (a robot)
480. роза (a rose)
481. ролики (roller skates)
482. ромб (a rhombus)
483. рояль (a grand piano)
484. рубанок (a plane)
485. рубашка (a shirt)
486. ружье (a rifle)
487. рука (an arm)
488. рукав (a sleeve)
489. рулетка (a roulette)
490. руль (a steering wheel)
491. рупор (a megaphone)
492. ручка (1) (a pen)
493. рыба (a fish)
494. рынок (a market)
495. рыцарь (a knight)
496. рюкзак (1) (a backpack)
497. сад (a garden)
498. салфетка (1) (a table-napkin)
499. салфетка (2) (an overlay)
500. салфетки (paper napkins)
501. самовар (a samovar)
502. самокат (a scooter)
503. самолет (an airplane)
504. санки (a sled)
505. сапог (a boot)
506. сапожник (a shoemaker)
507. сачок (a butterfly net)
508. светофор (a traffic light)
509. свеча (a candle)
510. свинья (a pig)
511. свисток (1) (a whistle)
512. свитер (a pullover)
513. свиток (1) (a scroll)
514. свиток (2) (a scroll)
515. священник (a priest)
516. сейф (a safe)
517. семья (a family)
518. сердце (a heart)
519. сигара (a cigar)
520. сигарета (a cigarette)
521. сирень (a lilac)
522. сказка (a fairy tale)
523. скакалка (a skipping-rope)
524. скалка (a rolling pin)
525. скамейка (a bench)
526. скворечник (a nesting box)
527. скейтборд (a skateboard)
528. скелет (a skeleton)
529. сковорода (1) (a frying pan)
530. скорпион (a scorpion)
531. скрепка (a paperclip)
532. скрипка (a violin)
533. скунс (a skunk)
534. словарь (a dictionary)
535. слон (an elephant)
536. смородина (currant)
537. снеговик (a snowman)
538. сноуборд (a snowboard)
539. собака (a dog)
540. сова (an owl)
541. сок (juice)
542. солдат (a soldier)
543. солнце (a sun)
544. солонка (a saltcellar)
545. сосиски (sausages)
546. спина (a back)
547. спичка (a match)
548. спортсмен (a sportsman)
549. стадион (a stadium)
550. стакан (1) (a glass)
551. стакан (2) (a plastic cup)
552. стакан (3) (a glass)
553. стакан (4) (a plastic cup)
554. старик (an old man)
555. статуя (a statue)
556. степлер (a stapler)
557. стол (a table)
558. страус (an ostrich)
559. стрекоза (a dragonfly)
560. стрела (an arrow)
561. стул (a chair)
562. сумка (a bag)
563. сундук (a chest)
564. сыр (cheese)
565. сыщик (a detective)
566. таблетка (a pill)
567. табурет (a stool)
568. таз (a washbasin)
569. танк (a tank)
570. тапочки (slippers)
571. таракан (a cockroach)
572. тарелка (a plate)
573. театр (a theatre)
574. телевизор (a TV set)
575. телега (a cart)
