барабанить (drum) 1.jpg
перепрыгивать (jump over) 215.jpg
пересаживать (take up (a plant)) 216.jpg
перетягивать (pull over) 217.jpg
переходить (walk across) 218.jpg
петь (sing) 219.jpg
печатать (type) 220.jpg
печь (bake) 221.jpg
пилить (saw) 222.jpg
пинать (kick) 223.jpg
писать (write) 224.jpg
пить (drink) 225.jpg
плакать (weep) 226.jpg
плевать (spit) 227.jpg
плыть (sail) 228.jpg
плыть (swim) 229.jpg
поворачивать (turn) 230.jpg
подбегать (run to) 231.jpg
подглядывать (peep) 232.jpg
поджигать (put on fire) 233.jpg
подлетать (fly up to) 234.jpg
подметать (sweep) 235.jpg
подметать (sweep) 236.jpg
подмигивать (wink) 237.jpg
поднимать (lift) 238.jpg
поднимать (raise) 239.jpg
подниматься (walk up) 240.jpg
подплывать (swim to) 241.jpg
подползать (crawl to) 242.jpg
поскальзываться (slip) 243.jpg
подслушивать (overhear) 244.jpg
подтягиваться (pull oneself up) 245.jpg
подходить (approach) 246.jpg
подчеркивать (underline) 247.jpg
подъезжать (drive up) 248.jpg
поить (give water) 249.jpg
показывать (show) 250.jpg
покупать (buy) 251.jpg
ползти (crawl) 252.jpg
поливать (water tr) 253.jpg
потеть (sweat) 254.jpg
прибивать (nail) 255.jpg
привязывать (tie to sth) 256.jpg
приседать (squat) 257.jpg
пристегиваться (fasten oneself) 258.jpg
пришивать (sew) 259.jpg
продавать (sell) 260.jpg
просить (ask) 261.jpg
просыпаться (wake up) 262.jpg
протирать (wipe) 263.jpg
прыгать (jump) 264.jpg
прыгать (skip) 265.jpg
прясть (spin) 266.jpg
прятать (hide tr) 267.jpg
прятаться (hide intr) 268.jpg
пугать (frighten) 269.jpg
путешествовать (travel) 270.jpg
пылесосить (vacuum) 271.jpg
пытать (torture) 272.jpg
радоваться (be glad) 273.jpg
развеваться (flutter) 274.jpg
разгибать (unbend) 275.jpg
разговаривать (talk) 276.jpg
разговаривать (talk) 277.jpg
разгружать (unload) 278.jpg
раздевать (undress) 279.jpg
раздеваться (strip) 280.jpg
разжигать (inflame) 281.jpg
раскатывать (roll out) 282.jpg
